bucket,sessions,success_rate,median_turns,p90_turns,median_cost_usd,p90_cost_usd
chess-famous-txr_full,25,1.00,36,71,0.63,1.26
chess-random-txr_full,100,1.00,36.0,86,0.63,1.53
